Fecha,Estacion,Temperatura,Humedad,Lluvia
2023-01-01,Estacion_01,17.140064204947137,35.303011349324024,0
2023-01-02,Estacion_01,12.387692602337086,42.894704214749694,0
2023-01-03,Estacion_01,19.824052911642177,49.35168847136994,0
2023-01-04,Estacion_01,20.84315621725267,58.57009065292473,0
2023-01-05,Estacion_01,19.33614749488222,69.58413836213299,0
2023-01-06,Estacion_01,17.066770438118226,40.636237900154,0
2023-01-07,Estacion_01,22.399243875992763,83.9677428127113,1
2023-01-08,Estacion_01,16.707954029743583,63.36398763786252,0
2023-01-09,Estacion_01,8.292982510269178,43.78305379056516,0
2023-01-10,Estacion_01,12.75347806952109,64.49774038488734,0
2023-01-11,Estacion_01,12.220275511126912,58.72265171536114,0
2023-01-12,Estacion_01,15.70453684035661,40.08462213468586,0
2023-01-13,Estacion_01,11.172453170963307,64.22313761664064,0
2023-01-14,Estacion_01,11.612921661426217,78.84526590076267,1
2023-01-15,Estacion_01,23.277308126894606,75.37074577936352,1
2023-01-16,Estacion_01,11.98012040251126,66.9909238185999,0
2023-01-17,Estacion_01,30.935166690364845,60.84163521007921,0
2023-01-18,Estacion_01,20.16256396413941,62.2698430121935,0
2023-01-19,Estacion_01,10.584606707602333,53.00621951603518,0
2023-01-20,Estacion_01,21.40960190157101,79.51280085735755,0
2023-01-21,Estacion_01,24.352119489077587,76.88017032368914,0
2023-01-22,Estacion_01,9.444180936279512,53.73142130461846,0
2023-01-23,Estacion_01,12.943547046700928,69.8402354456309,0
2023-01-24,Estacion_01,16.246572708109777,78.13666575878908,0
2023-01-25,Estacion_01,7.802692016831347,56.165124738052384,0
2023-01-26,Estacion_01,20.347389760204347,36.604034363566015,0
2023-01-27,Estacion_01,22.21873604842881,40.85092630390478,0
2023-01-28,Estacion_01,2.7040331896072587,54.356580185393064,1
2023-01-29,Estacion_01,19.21787011390172,69.33678521760032,1
2023-01-30,Estacion_01,11.996976593752075,50.12770792327075,0
2023-01-31,Estacion_01,13.383136004983992,63.39882579443667,1
2023-02-01,Estacion_01,6.34842344787911,47.682692324901744,0
2023-02-02,Estacion_01,16.293334560051086,92.3251421173625,1
2023-02-03,Estacion_01,19.064282321190497,52.60381230570648,0
2023-02-04,Estacion_01,14.99182016677951,55.7396766143558,0
2023-02-05,Estacion_01,11.724573580879609,71.49623078833082,0
2023-02-06,Estacion_01,10.657090314761502,61.16410980120757,0
2023-02-07,Estacion_01,18.228663943616237,64.60737067563919,0
2023-02-08,Estacion_01,5.903497752350354,69.14605515594084,0
2023-02-09,Estacion_01,23.368740796956914,64.6777954620771,0
